"cname","year","ht_region","hf_govint","icrg_qog"
"Somalia",2007,4,"",0.083333336
"Somalia",2008,4,"",0.083333336
"Somalia",2009,4,"",0.083333336
"Somalia",2010,4,"",0.083333336
"South Africa",1999,4,"50",0.45833334
"South Africa",2000,4,"52",0.44444445
"South Africa",2001,4,"50",0.44212964
"South Africa",2002,4,"50",0.4050926
"South Africa",2003,4,"48",0.37962964
"South Africa",2004,4,"48",0.41666666
"South Africa",2005,4,"44",0.42592591
"South Africa",2006,4,"46",0.44444445
"South Africa",2007,4,"45",0.44444445
"South Africa",2008,4,"46",0.44444445
"South Africa",2009,4,"51",0.44444445
"South Africa",2010,4,"49",0.46527776
"Zimbabwe",1999,4,"30",0.5
"Zimbabwe",2000,4,"42",0.36574075
"Zimbabwe",2001,4,"41",0.25925925
"Zimbabwe",2002,4,"30",0.19444445
"Zimbabwe",2003,4,"29",0.19444445
"Zimbabwe",2004,4,"27",0.24074075
"Zimbabwe",2005,4,"23",0.2951389
"Zimbabwe",2006,4,"23",0.29166666
"Zimbabwe",2007,4,"26",0.29166666
"Zimbabwe",2008,4,"24",0.29166666
"Zimbabwe",2009,4,"21",0.29166666
"Zimbabwe",2010,4,"18",0.3125
"Yemen, South",1999,3,"",NA
"Yemen, South",2000,3,"",NA
"Yemen, South",2001,3,"",NA
"Yemen, South",2002,3,"",NA
"Yemen, South",2003,3,"",NA
"Yemen, South",2004,3,"",NA
"Yemen, South",2005,3,"",NA
"Yemen, South",2006,3,"",NA
"Yemen, South",2007,3,"",NA
"Yemen, South",2008,3,"",NA
"Yemen, South",2009,3,"",NA
"Yemen, South",2010,3,"",NA
"Sudan (-2011)",1999,4,"30",0.25
"Sudan (-2011)",2000,4,"30",0.25
"Sudan (-2011)",2001,4,"",0.25
"Sudan (-2011)",2002,4,"",0.27777779
"Sudan (-2011)",2003,4,"",0.27777779
"Sudan (-2011)",2004,4,"",0.27777779
